"","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Response","Complain","Country","YearAcquired","MonthAcquired","AcceptCombo"
"16",1977,"Graduation","Married",54809,"One","One",0,63,6,57,13,13,22,4,2,1,5,4,"No","No","No","No","No","No","No","SP",2013,"Sep","No"
"17",1977,"Graduation","Married",54809,"One","One",0,63,6,57,13,13,22,4,2,1,5,4,"No","No","No","No","No","Yes","No","SP",2013,"Sep","No"
"18",1958,"PhD","Divorced",32173,"None","One",0,18,0,2,0,0,2,1,1,0,3,4,"No","No","No","No","No","No","No","SP",2013,"Aug","No"
"19",1960,"2n Cycle","Single",47823,"None","One",0,53,1,5,2,1,10,2,2,0,3,8,"No","No","No","No","No","No","No","CA",2013,"Jul","No"
"20",1958,"Master","Single",30523,"Two","One",0,5,0,3,0,0,5,1,1,0,2,7,"No","No","No","No","No","No","No","CA",2013,"Jul","No"
"21",1954,"Master","Together",36634,"None","One",0,213,9,76,4,3,30,3,5,2,5,7,"No","No","No","No","No","No","No","SA",2013,"May","No"
"22",1966,"Master","Single",43456,"None","One",0,275,11,68,25,7,7,3,5,1,8,5,"No","No","No","No","No","No","No","IND",2013,"Mar","No"
"23",1979,"Master","Married",40662,"One","None",0,40,2,23,0,4,23,2,2,1,3,4,"No","No","No","No","No","No","No","GER",2013,"Mar","No"
"24",1976,"PhD","Married",49544,"One","None",0,308,0,73,0,0,23,2,5,1,8,7,"No","No","No","No","No","No","No","SP",2013,"Feb","No"
"25",1969,"Graduation","Single",57731,"None","One",0,266,21,300,65,8,44,4,8,8,6,6,"No","No","No","No","No","No","No","IND",2012,"Nov","No"
"26",1965,"Master","Single",33168,"None","One",0,80,1,37,0,1,3,3,2,1,4,7,"No","No","No","No","No","No","No","SP",2012,"Oct","No"
"27",1956,"Graduation","Together",54450,"One","One",0,454,0,171,8,19,32,12,9,2,8,8,"No","No","No","No","No","No","No","SP",2012,"Sep","No"
"28",1956,"Graduation","Together",54450,"One","One",0,454,0,171,8,19,32,12,9,2,8,8,"No","No","No","No","No","No","No","SP",2012,"Sep","No"
"29",1956,"PhD","Widow",35340,"One","One",1,27,0,12,0,1,5,2,2,0,3,5,"No","No","No","No","No","No","No","SP",2014,"Jun","No"
"30",1975,"Graduation","Single",73170,"None","None",1,184,174,256,50,30,32,1,5,4,6,2,"No","No","No","No","No","No","No","CA",2014,"May","No"
"31",1971,"PhD","Divorced",65808,"One","One",1,155,7,80,13,7,10,3,5,1,5,6,"No","No","No","No","No","No","No","SP",2014,"May","No"
"32",1986,"Graduation","Married",79529,"None","None",1,423,42,706,73,197,197,1,4,8,9,2,"No","No","No","No","No","No","No","CA",2014,"Apr","No"
"33",1972,"PhD","Together",34578,"Two","One",1,7,0,1,0,0,0,1,1,0,2,6,"No","No","No","No","No","No","No","AUS",2014,"Apr","No"
"34",1974,"PhD","Married",46374,"None","One",1,408,0,21,0,0,17,3,7,1,7,8,"No","Yes","No","Yes","No","Yes","No","IND",2014,"Mar","Yes"
"35",1990,"Graduation","Married",18351,"None","None",1,1,12,9,0,14,7,1,2,0,3,7,"No","No","No","No","No","No","No","SP",2013,"Oct","No"
"36",1987,"PhD","Single",95169,"None","None",1,1285,21,449,106,20,20,1,4,3,4,1,"No","No","Yes","Yes","No","Yes","No","SP",2013,"Oct","Yes"
"37",1984,"2n Cycle","Married",65370,"None","None",1,71,22,112,138,89,29,1,2,3,13,1,"No","No","No","No","No","No","No","SP",2013,"Aug","No"
"38",1960,"Master","Divorced",39228,"None","None",1,7,1,6,0,3,3,1,0,0,3,4,"No","No","No","No","No","No","No","SA",2013,"May","No"
"39",1961,"PhD","Single",84865,"None","None",1,1248,16,349,43,16,16,1,2,4,9,4,"No","Yes","Yes","Yes","Yes","Yes","No","SP",2013,"May","Yes"
"40",1968,"Graduation","Married",61314,"None","One",1,378,0,189,97,172,172,2,5,5,12,3,"No","No","No","No","No","No","No","SP",2013,"Apr","No"
"41",1972,"Graduation","Single",21359,"One","None",1,12,2,17,6,1,10,2,2,0,3,8,"No","No","No","No","No","Yes","No","CA",2013,"Apr","No"
"42",1955,"PhD","Married",66465,"None","One",1,1200,0,204,38,29,14,3,11,9,12,6,"No","No","No","Yes","No","No","No","SP",2013,"Mar","Yes"
"43",1983,"2n Cycle","Single",81698,"None","None",1,709,45,115,30,160,45,1,8,2,5,5,"No","No","No","Yes","No","Yes","No","SP",2013,"Mar","Yes"
"44",1986,"Graduation","Single",39146,"One","None",1,94,1,33,13,12,12,3,4,0,4,8,"No","No","No","No","No","No","No","SP",2013,"Feb","No"
"45",1970,"2n Cycle","Divorced",25959,"One","One",1,4,2,12,7,5,26,2,1,2,2,6,"No","No","No","No","No","Yes","No","SP",2013,"Feb","No"
"46",1961,"Graduation","Together",64260,"None","None",1,539,169,816,20,0,30,1,4,5,4,3,"No","No","No","No","No","Yes","No","SP",2013,"Jan","No"
"47",1973,"Graduation","Married",32300,"One","None",1,13,3,6,6,5,6,1,1,0,3,8,"No","No","No","No","No","No","No","SP",2013,"Jan","No"
"48",1965,"Master","Married",74806,"None","One",1,670,9,249,0,28,9,2,5,4,5,4,"No","No","No","No","No","No","No","AUS",2012,"Dec","No"
"49",1970,"Graduation","Divorced",72967,"None","One",1,158,35,179,0,0,125,2,7,2,8,5,"Yes","No","No","No","No","Yes","No","GER",2012,"Dec","No"
"50",1960,"Graduation","Single",48904,"None","One",1,283,10,38,0,13,27,4,7,2,4,8,"No","No","No","No","No","No","No","US",2012,"Dec","No"
"51",1984,"2n Cycle","Married",14796,"One","None",1,13,3,8,7,4,16,2,1,0,3,9,"No","No","No","No","No","Yes","No","GER",2012,"Sep","No"
"52",1954,"Master","Married",66991,"None","None",1,496,36,460,189,60,12,3,4,8,6,3,"No","No","No","No","No","No","No","GER",2012,"Sep","No"
"53",1978,"2n Cycle","Single",52195,"Two","One",2,12,0,4,0,0,1,1,1,0,2,8,"No","No","No","No","No","No","No","SA",2014,"May","No"
"54",1956,"Graduation","Married",90369,"None","None",2,292,51,981,224,23,17,1,4,6,6,1,"No","No","No","No","No","Yes","No","SP",2014,"Apr","No"
"55",1974,"Basic","Married",18393,"One","None",2,7,10,13,16,0,4,2,3,0,3,8,"No","No","No","No","No","No","No","SP",2014,"Mar","No"
"56",1952,"Graduation","Single",47139,"One","One",2,46,0,12,0,2,23,2,2,1,2,7,"No","No","No","No","No","Yes","No","SP",2014,"Mar","No"
"57",1973,"Master","Married",38576,"None","One",2,34,0,7,0,0,0,1,1,0,3,7,"No","No","No","No","No","No","No","IND",2014,"Mar","No"
"58",1975,"PhD","Together",61905,"None","One",2,167,0,43,6,2,13,2,4,2,4,5,"No","No","No","No","No","No","No","SA",2014,"Feb","No"
"59",1962,"Graduation","Married",83715,"None","None",2,318,8,407,150,35,8,1,2,8,13,0,"No","No","No","No","No","No","No","SA",2014,"Feb","No"
"60",1964,"Graduation","Married",60597,"None","One",2,522,0,257,32,16,66,4,2,2,8,7,"No","No","No","Yes","No","Yes","No","SP",2014,"Jan","Yes"
"61",1982,"Master","Single",6560,"None","None",2,67,11,26,4,3,262,0,1,0,1,17,"No","No","No","No","No","No","No","SP",2013,"Dec","No"
"62",1961,"Master","Together",48330,"None","One",2,28,0,4,0,0,0,1,1,0,3,5,"No","No","No","No","No","No","No","SP",2013,"Nov","No"
"63",1968,"PhD","Single",38236,"One","One",2,58,0,18,2,0,10,4,3,0,4,7,"No","No","No","No","No","No","No","SP",2013,"Sep","No"
"64",1977,"Master","Married",22701,"One","None",2,2,4,9,0,4,5,1,1,0,3,5,"No","No","No","No","No","No","No","SP",2013,"Sep","No"
"65",1974,"Master","Divorced",53367,"One","One",2,229,7,140,10,3,11,7,5,1,8,7,"No","No","No","No","No","Yes","No","AUS",2013,"Aug","No"
"66",1986,"Graduation","Together",34728,"One","None",2,14,0,16,0,0,6,1,1,1,2,6,"No","No","No","No","No","Yes","No","SP",2013,"Jul","No"
"67",1956,"Master","Married",63915,"None","Two",2,622,7,115,30,0,15,2,6,3,12,5,"No","No","No","No","No","No","No","AUS",2013,"Jul","No"
"68",1960,"2n Cycle","Married",82504,"None","None",2,362,50,431,134,35,54,1,3,6,7,1,"No","No","No","No","No","No","No","IND",2013,"Jul","No"
"69",1972,"PhD","Single",38578,"One","One",2,38,4,22,3,3,3,3,3,0,3,8,"No","No","No","No","No","Yes","No","SP",2013,"Jun","No"
"70",1972,"PhD","Single",38578,"One","One",2,38,4,22,3,3,3,3,3,0,3,8,"No","No","No","No","No","No","No","SP",2013,"Jun","No"
"71",1975,"PhD","Married",79174,"None","None",2,1074,37,518,193,92,129,1,5,6,7,2,"No","No","Yes","Yes","No","Yes","No","CA",2013,"Jan","Yes"
"72",1962,"2n Cycle","Divorced",81975,"None","One",2,983,76,184,180,138,27,1,6,3,4,7,"No","No","Yes","No","No","No","No","SA",2013,"Jan","Yes"
"73",1977,"Master","Married",43263,"None","One",2,262,6,61,0,10,102,3,5,2,6,5,"No","No","No","No","No","No","No","SP",2012,"Nov","No"
"74",1970,"Graduation","Single",27242,"One","None",2,3,17,26,20,1,39,2,2,0,3,9,"No","No","No","No","No","Yes","No","IND",2012,"Nov","No"
"75",1971,"Graduation","Married",76445,"One","None",2,739,107,309,140,80,35,1,2,5,13,6,"No","No","No","No","No","No","No","SA",2012,"Sep","No"
"76",1965,"Graduation","Together",75276,"None","None",2,610,105,125,137,42,21,1,9,4,9,5,"No","No","No","No","No","No","No","SP",2012,"Sep","No"
"77",1963,"Graduation","Widow",34213,"One","One",2,50,4,28,6,3,26,3,3,1,2,9,"No","No","No","No","No","Yes","No","SA",2012,"Sep","No"
"78",1976,"PhD","Together",72335,"None","None",2,1285,105,653,28,21,0,1,10,4,8,8,"No","No","No","No","No","Yes","No","SP",2012,"Aug","No"
"79",1964,"Master","Married",79143,"None","None",2,650,37,780,27,167,32,1,6,9,13,3,"No","No","No","No","No","No","No","AUS",2012,"Aug","No"
"80",1947,"Graduation","Married",27469,"None","None",2,9,1,2,3,2,0,1,0,0,3,6,"No","No","No","No","No","No","No","CA",2012,"Aug","No"
"81",1969,"Graduation","Together",68695,"None","None",3,458,81,356,106,50,40,1,4,4,7,2,"No","No","No","No","No","No","No","SP",2014,"Jun","No"
"82",1969,"Graduation","Together",68695,"None","None",3,458,81,356,106,50,40,1,4,4,7,2,"No","No","No","No","No","No","No","CA",2014,"Jun","No"
"83",1957,"Graduation","Single",50388,"None","One",3,292,6,37,0,3,34,4,6,1,6,7,"No","Yes","No","Yes","No","Yes","No","GER",2014,"May","Yes"
"84",1970,"PhD","Together",77622,"None","Two",3,520,7,154,19,0,14,2,6,3,11,3,"No","No","No","No","No","No","No","SA",2014,"Apr","No"
"85",1962,"Graduation","Divorced",46102,"Two","One",3,14,0,1,0,0,1,1,1,0,2,7,"No","No","No","No","No","No","No","SP",2014,"Mar","No"
"86",1980,"2n Cycle","Single",31859,"One","None",3,3,4,7,15,8,11,1,1,0,3,7,"No","No","No","No","No","No","No","SP",2014,"Feb","No"
"87",1987,"2n Cycle","Single",23830,"None","None",3,1,8,6,4,8,16,1,1,0,3,7,"No","No","No","No","No","No","No","SP",2014,"Feb","No"
"88",1973,"Graduation","Married",24639,"One","One",3,20,3,16,0,4,1,3,2,0,4,6,"No","No","No","No","No","No","No","AUS",2014,"Jan","No"
"89",1945,"PhD","Together",71604,"None","None",3,345,53,528,98,75,97,1,8,3,5,4,"Yes","No","No","No","No","Yes","No","SP",2013,"Nov","No"
"90",1984,"Graduation","Married",27255,"One","None",3,22,1,11,0,1,2,1,1,0,3,7,"No","No","No","No","No","No","No","SP",2013,"Nov","No"
"91",1977,"Graduation","Together",55375,"None","One",3,42,11,57,10,28,14,1,1,1,6,2,"No","No","No","No","No","No","No","CA",2013,"Oct","No"
"92",1960,"PhD","Married",77037,"None","One",3,463,96,333,168,53,10,1,7,7,12,3,"No","No","No","No","No","No","No","SP",2013,"Oct","No"
"93",1970,"Graduation","Single",24163,"One","One",3,4,1,7,2,1,2,2,1,0,3,4,"No","No","No","No","No","No","No","SP",2013,"Oct","No"
"94",1969,"PhD","Together",69476,"None","None",3,260,86,559,63,9,67,1,4,6,4,2,"No","No","No","No","No","No","No","US",2013,"Sep","No"
"95",1979,"Graduation","Married",72063,"None","One",3,180,32,348,76,32,90,2,5,2,12,2,"No","No","No","No","No","No","No","GER",2013,"Jul","No"
"96",1962,"Master","Married",58646,"None","One",3,62,1,44,6,5,22,1,2,1,4,4,"No","No","No","No","No","No","No","SP",2013,"Jun","No"
"97",1962,"Master","Married",58646,"None","One",3,62,1,44,6,5,22,1,2,1,4,4,"No","No","No","No","No","No","No","GER",2013,"Jun","No"
"98",1949,"Master","Widow",47570,"One","One",3,67,1,20,0,2,31,3,2,2,2,7,"No","No","No","No","No","Yes","No","US",2013,"May","No"
"99",1980,"Graduation","Married",80011,"None","One",3,421,76,536,82,178,102,2,8,6,5,4,"No","No","No","No","No","No","No","AUS",2013,"Apr","No"
"100",1956,"PhD","Single",54998,"None","One",3,154,22,202,39,30,8,5,4,2,9,4,"No","No","No","No","No","Yes","No","SP",2013,"Mar","No"
"101",1948,"PhD","Single",60200,"None","One",3,502,19,132,0,6,26,6,6,2,11,6,"No","No","No","No","No","No","No","SP",2013,"Jan","No"
"102",1982,"Graduation","Married",63211,"None","None",3,145,193,459,205,26,145,2,3,8,7,2,"No","No","No","No","No","Yes","No","SP",2012,"Nov","No"
"103",1973,"PhD","Single",48432,"None","One",3,322,3,50,4,3,42,5,7,1,6,8,"No","No","No","No","No","Yes","No","SA",2012,"Oct","No"
"104",1973,"PhD","Other",48432,"None","One",3,322,3,50,4,3,42,5,7,1,6,8,"No","No","No","No","No","No","No","CA",2012,"Oct","No"
"105",1973,"PhD","Other",48432,"None","One",3,322,3,50,4,3,42,5,7,1,6,8,"No","No","No","No","No","Yes","No","IND",2012,"Oct","No"
"106",1949,"Master","Married",62845,"One","One",3,1099,0,45,0,0,34,11,3,4,10,8,"No","Yes","No","No","No","No","No","SP",2012,"Oct","No"
"107",1949,"Master","Married",62845,"One","One",3,1099,0,45,0,0,34,11,3,4,10,8,"No","Yes","No","No","No","Yes","No","SP",2012,"Oct","No"
"108",1965,"PhD","Together",65220,"None","None",3,890,63,292,0,25,12,4,8,4,7,6,"No","No","No","No","No","Yes","No","GER",2012,"Sep","No"
"109",1990,"PhD","Married",74214,"None","None",3,863,83,547,86,99,33,1,8,2,5,5,"No","No","No","No","No","No","No","SP",2012,"Aug","No"
"110",1980,"2n Cycle","Married",96547,"None","None",4,448,21,125,52,101,62,0,7,6,8,2,"Yes","No","Yes","Yes","No","Yes","No","SP",2014,"May","Yes"
"111",1955,"Graduation","Together",53863,"None","One",4,399,4,30,6,4,30,3,7,1,7,7,"No","Yes","No","No","No","No","No","SP",2014,"May","No"
"112",1970,"Graduation","Married",50447,"Two","None",4,85,7,24,2,3,27,1,3,1,3,6,"No","No","No","No","No","No","No","IND",2014,"Apr","No"
"113",1953,"Graduation","Married",37716,"None","One",4,97,1,41,6,2,41,2,4,1,3,7,"No","No","No","No","No","No","No","AUS",2014,"Apr","No"
"114",1982,"Graduation","Together",45203,"Two","None",4,35,3,67,10,8,24,1,3,1,3,6,"No","No","No","No","No","Yes","No","SA",2014,"Mar","No"
"115",1975,"Master","Married",37368,"One","None",4,3,2,11,2,2,10,1,1,0,2,6,"Yes","No","No","No","No","No","No","SP",2013,"Dec","No"
"116",1955,"Graduation","Married",67225,"None","One",4,315,35,322,46,7,143,3,7,2,11,5,"No","No","No","No","No","No","No","US",2013,"Nov","No"
"117",1976,"Master","Together",65104,"None","One",4,738,0,232,13,20,50,2,3,5,7,7,"No","No","No","No","No","Yes","No","CA",2013,"Nov","No"
"118",1976,"Master","Together",65104,"None","One",4,738,0,232,13,20,50,2,3,5,7,7,"No","No","No","No","No","No","No","SP",2013,"Nov","No"
"119",1949,"Master","Married",81698,"None","None",4,179,28,520,111,123,47,1,3,8,13,1,"No","No","No","No","No","Yes","No","SP",2013,"Nov","No"
"120",1968,"Graduation","Single",70566,"None","One",4,381,28,215,84,28,21,2,6,5,9,3,"No","No","No","No","No","No","No","SP",2013,"Oct","No"
"121",1958,"Graduation","Together",69096,"None","One",4,247,49,159,7,82,109,1,5,2,10,4,"No","No","No","No","No","No","No","GER",2013,"Sep","No"
"122",1962,"Graduation","Married",71434,"None","One",4,711,36,217,172,96,168,3,7,4,7,4,"No","Yes","No","Yes","No","No","No","SP",2013,"Sep","Yes"
"123",1978,"Graduation","Married",33039,"One","None",4,30,8,12,8,8,12,1,2,0,4,5,"No","No","No","No","No","No","No","SP",2013,"Sep","No"
"124",1978,"Graduation","Married",33039,"One","None",4,30,8,12,8,8,12,1,2,0,4,5,"No","No","No","No","No","No","No","CA",2013,"Sep","No"
"125",1958,"Graduation","Together",46610,"None","None",4,288,10,30,4,10,125,1,6,1,6,6,"No","No","No","No","No","No","No","SP",2013,"Jul","No"
"126",1958,"Graduation","Single",49967,"None","One",4,212,6,69,4,12,3,3,6,1,5,7,"No","No","No","No","No","No","No","CA",2013,"Jul","No"
"127",1976,"Graduation","Married",53359,"One","One",4,173,4,30,3,6,41,4,5,1,4,7,"No","No","No","No","No","No","No","US",2013,"May","No"
"128",1971,"Master","Married",49505,"One","One",4,604,0,100,19,0,28,9,10,2,8,8,"No","No","No","No","No","No","No","SP",2013,"Mar","No"
"129",1946,"Master","Married",68657,"None","None",4,482,34,471,119,68,22,1,3,5,9,7,"No","No","No","No","No","No","No","AUS",2013,"Feb","No"
"130",1954,"Graduation","Divorced",72071,"None","One",4,531,69,300,150,138,150,3,5,4,8,2,"No","No","No","No","No","No","No","SP",2013,"Feb","No"
"131",1954,"Graduation","Divorced",72071,"None","One",4,531,69,300,150,138,150,3,5,4,8,2,"No","No","No","No","No","No","No","CA",2013,"Feb","No"
"132",1967,"Master","Single",59235,"One","None",4,448,40,469,80,0,91,3,11,2,12,7,"No","No","No","No","No","No","No","IND",2013,"Jan","No"
"133",1957,"Graduation","Together",21994,"None","One",4,9,0,6,3,1,3,1,0,0,3,5,"No","No","No","No","No","No","No","AUS",2012,"Dec","No"
"134",1957,"Graduation","Together",21994,"None","One",4,9,0,6,3,1,3,1,0,0,3,5,"No","No","No","No","No","No","No","SP",2012,"Dec","No"
"135",1972,"Graduation","Married",69209,"None","None",4,496,32,849,229,48,128,2,5,3,6,4,"No","No","No","Yes","No","No","No","CA",2012,"Sep","Yes"
"136",1989,"Graduation","Together",31928,"One","None",5,33,4,24,4,2,5,2,3,0,4,7,"No","No","No","No","No","No","No","IND",2014,"Mar","No"
"137",1987,"PhD","Single",74004,"None","None",5,784,48,560,42,176,48,1,4,6,4,3,"No","No","Yes","Yes","No","Yes","No","IND",2014,"Feb","Yes"
"138",1987,"2n Cycle","Married",30390,"None","None",5,10,12,12,25,1,20,1,2,0,3,6,"No","No","No","No","No","No","No","IND",2013,"Sep","No"
"139",1985,"Graduation","Married",21355,"One","None",5,5,13,14,0,5,31,2,2,1,2,6,"Yes","No","No","No","No","Yes","No","US",2013,"Aug","No"
"140",1969,"Graduation","Married",26304,"One","None",5,4,1,5,2,0,4,1,1,0,2,7,"No","No","No","No","No","No","No","GER",2013,"Jun","No"
"141",1989,"2n Cycle","Married",85710,"None","None",5,600,20,350,29,30,33,1,6,9,10,2,"No","No","Yes","No","No","No","No","IND",2013,"May","Yes"
"142",1974,"Graduation","Divorced",102692,"None","None",5,168,148,444,32,172,148,1,6,9,13,2,"No","Yes","Yes","Yes","Yes","Yes","No","SA",2013,"Apr","Yes"
"143",1971,"Graduation","Single",58350,"None","One",5,493,26,206,116,80,80,4,8,3,12,6,"No","No","No","No","No","No","No","SP",2013,"Jan","No"
"144",1978,"Graduation","Single",7500,"One","One",5,6,5,4,13,4,25,4,2,1,3,6,"No","No","No","No","No","No","No","SP",2012,"Dec","No"
"145",1984,"Master","Single",18890,"None","None",5,6,4,1,7,2,15,1,0,1,2,6,"Yes","No","No","No","No","Yes","No","SA",2012,"Nov","No"
"146",1986,"Basic","Married",20425,"One","None",5,4,12,5,3,16,17,2,2,0,3,7,"No","No","No","No","No","No","No","CA",2012,"Oct","No"
"147",1986,"Basic","Married",20425,"One","None",5,4,12,5,3,16,17,2,2,0,3,7,"No","No","No","No","No","No","No","GER",2012,"Oct","No"
"148",1957,"PhD","Divorced",41437,"One","One",5,29,0,2,0,0,1,1,1,0,3,7,"No","No","No","No","No","No","No","SP",2012,"Sep","No"
"149",1949,"Master","Together",49912,"None","One",5,520,8,223,32,49,42,4,10,5,7,8,"Yes","No","No","No","No","Yes","No","ME",2012,"Sep","No"
"150",1949,"Master","Together",49912,"None","One",5,520,8,223,32,49,42,4,10,5,7,8,"Yes","No","No","No","No","Yes","No","AUS",2012,"Sep","No"
"151",1959,"Graduation","Married",79823,"None","One",6,835,73,380,114,73,43,1,6,9,7,2,"No","Yes","No","No","No","No","No","AUS",2014,"Mar","No"
"152",1954,"Graduation","Divorced",85683,"None","None",6,1296,17,311,45,69,51,1,2,4,10,1,"No","Yes","Yes","Yes","Yes","Yes","No","SP",2014,"Mar","Yes"
"153",1965,"PhD","Divorced",47025,"One","One",6,16,0,3,0,0,1,1,1,0,2,7,"No","No","No","No","No","No","No","SP",2014,"Feb","No"
"154",1976,"PhD","Married",68397,"None","One",6,760,80,466,17,13,80,1,6,9,5,3,"No","No","No","No","No","No","No","SA",2013,"Nov","No"
"155",1984,"PhD","Married",38175,"One","None",6,70,6,69,2,3,3,3,3,1,4,7,"No","No","No","No","No","No","No","SP",2013,"Sep","No"
"156",1972,"Master","Single",46423,"One","One",6,68,0,16,0,0,8,3,2,0,4,7,"No","No","No","No","No","No","No","SP",2013,"Sep","No"
"157",1972,"Master","Single",46423,"One","One",6,68,0,16,0,0,8,3,2,0,4,7,"No","No","No","No","No","No","No","SP",2013,"Sep","No"
"158",1976,"Master","Together",30560,"One","None",6,9,1,5,4,5,7,1,1,0,3,7,"No","No","No","No","No","No","No","SA",2013,"Jun","No"
"159",1976,"Master","Together",30560,"One","None",6,9,1,5,4,5,7,1,1,0,3,7,"No","No","No","No","No","No","No","CA",2013,"Jun","No"
"160",1979,"Graduation","Single",60152,"None","One",6,325,83,300,86,58,91,1,6,4,12,3,"No","No","No","No","No","No","No","SP",2013,"Mar","No"
"161",1965,"Graduation","Together",29672,"One","One",6,9,1,3,0,4,8,1,0,0,3,6,"No","No","No","No","No","No","No","SA",2013,"Mar","No"
"162",1965,"Graduation","Together",29672,"One","One",6,9,1,3,0,4,8,1,0,0,3,6,"No","No","No","No","No","No","No","SP",2013,"Mar","No"
"163",1947,"Graduation","Together",70321,"None","None",6,303,23,751,82,26,191,1,6,5,13,4,"No","No","No","No","No","Yes","No","SP",2013,"Jan","No"
"164",1962,"Graduation","Married",56181,"None","One",6,121,103,69,8,44,48,1,4,2,7,4,"No","No","No","No","No","No","No","SP",2013,"Jan","No"
"165",1990,"Basic","Married",24279,"None","None",6,16,36,21,20,62,108,1,4,1,3,8,"No","No","No","No","No","No","No","SP",2012,"Dec","No"
"166",1969,"PhD","Married",68462,"None","None",6,561,64,785,84,128,48,1,3,3,8,1,"No","No","No","No","No","No","No","SP",2012,"Dec","No"
"167",1976,"PhD","Married",55424,"None","One",6,462,61,184,10,53,107,4,7,5,9,6,"Yes","No","No","No","No","Yes","No","SP",2012,"Nov","No"
"168",1973,"Graduation","Married",49094,"None","One",6,376,0,38,11,8,69,5,6,3,6,6,"No","No","No","No","No","No","No","SP",2012,"Sep","No"
"169",1961,"2n Cycle","Widow",59184,"None","One",6,341,142,113,259,151,66,3,6,6,12,5,"No","No","No","No","No","No","No","SP",2012,"Sep","No"
"170",1987,"Graduation","Together",67430,"None","None",6,595,97,291,127,133,121,1,11,5,12,6,"No","No","No","No","No","No","No","GER",2012,"Sep","No"
"171",1960,"Master","Married",30522,"None","One",6,179,8,83,19,11,26,5,1,2,9,2,"No","No","No","No","No","No","No","SP",2012,"Aug","No"
"172",1977,"2n Cycle","Single",31878,"None","One",7,23,4,5,10,5,23,1,1,0,4,3,"No","No","No","No","No","No","No","SP",2014,"Jun","No"
"173",1992,"Graduation","Single",83528,"None","None",7,530,117,678,134,44,147,1,4,10,8,1,"Yes","No","No","Yes","No","Yes","No","SP",2014,"May","Yes"
"174",1979,"Graduation","Together",90300,"None","None",7,594,134,786,33,134,57,0,5,6,8,1,"No","No","Yes","No","No","No","No","SP",2014,"Jan","Yes"
"175",1978,"Master","Single",68092,"None","None",7,852,60,207,78,36,48,2,2,6,10,5,"No","No","No","No","No","No","No","SA",2013,"Dec","No"
"176",1972,"Master","Married",53761,"One","One",7,158,0,76,13,7,71,6,4,4,3,5,"No","No","No","No","No","No","No","AUS",2013,"Oct","No"
